,2,4,8,16,32
16 KB,0.0119135,0.0116482,0.0116206,0.0116078,0.0116057
32 KB,0.0118286,0.0115569,0.0115526,0.0115505,0.0115484
64 KB,0.0115569,0.0115442,0.0115442,0.0115442,0.0115442
128 KB,0.0115442,0.0115442,0.0115442,0.0115442,0.0115442
256 KB,0.0115442,0.0115442,0.0115442,0.0115442,0.0115442
512 KB,0.0115442,0.0115442,0.0115442,0.0115442,0.0115442
1024 KB,0.0115442,0.0115442,0.0115442,0.0115442,0.0115442
4096 KB,0.0115442,0.0115442,0.0115442,0.0115442,0.0115442
16384 KB,0.0115442,0.0115442,0.0115442,0.0115442,0.0115442
32768 KB,0.0115442,0.0115442,0.0115442,0.0115442,0.0115442
